Input Sizes,Dynamic Programming Timings,Exhaustive Search Timings
9,2.4416949599981308e-05,0.1333301670383662
10,2.9791961424052715e-05,0.6154525829479098
11,2.729194238781929e-05,1.8384431669255719
12,3.324996214359999e-05,12.27649683400523
13,3.5541015677154064e-05,46.746501999907196
14,4.033301956951618e-05,201.4424116659211
15,5.141599103808403e-05,971.6087485420285
